action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,453679,[],CHEMBL719134,Inhibition of matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C1c2ccc(O)cc2CCN1S(=O)(=O)c1cc(Cl)ccc1Cl,,,CHEMBL1146709,Bioorg Med Chem Lett,2004,"{'bei': '16.22', 'le': '0.36', 'lle': '4.28', 'sei': '6.33'}",CHEMBL424130,,CHEMBL424130,6.77,0,http://www.openphacts.org/units/Nanomolar,285619,=,1,1,=,,IC50,nM,,170.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.17
,,453688,[],CHEMBL719134,Inhibition of matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C1c2ccc(OCc3ccccc3)cc2CCN1S(=O)(=O)c1ccccc1,,,CHEMBL1146709,Bioorg Med Chem Lett,2004,"{'bei': '16.52', 'le': '0.32', 'lle': '4.18', 'sei': '7.55'}",CHEMBL147881,,CHEMBL147881,7.24,0,http://www.openphacts.org/units/Nanomolar,285615,=,1,1,=,,IC50,nM,,57.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.057
,,453697,[],CHEMBL719134,Inhibition of matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N2CCc3cc(O)c(OC)cc3C2C(=O)NO)cc1,,,CHEMBL1146709,Bioorg Med Chem Lett,2004,"{'bei': '18.85', 'le': '0.38', 'lle': '6.50', 'sei': '6.14'}",CHEMBL148214,,CHEMBL148214,7.70,0,http://www.openphacts.org/units/Nanomolar,285611,=,1,1,=,,IC50,nM,,20.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.02
,,455059,[],CHEMBL719134,Inhibition of matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N2CCc3cc(O)ccc3C2C(=O)NO)cc1,,,CHEMBL1146709,Bioorg Med Chem Lett,2004,"{'bei': '13.51', 'le': '0.27', 'lle': '3.92', 'sei': '4.40'}",CHEMBL356124,,CHEMBL356124,5.11,0,http://www.openphacts.org/units/Nanomolar,285620,=,1,1,=,,IC50,nM,,7689.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,7.689
,,455068,[],CHEMBL719134,Inhibition of matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(S(=O)(=O)N2CCc3cc(OCc4ccccc4)ccc3C2C(=O)NO)cc1,,,CHEMBL1146709,Bioorg Med Chem Lett,2004,"{'bei': '15.46', 'le': '0.30', 'lle': '4.17', 'sei': '6.89'}",CHEMBL358539,,CHEMBL358539,7.24,0,http://www.openphacts.org/units/Nanomolar,285614,=,1,1,=,,IC50,nM,,57.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.057
,,456406,[],CHEMBL719134,Inhibition of matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C1c2ccc(O)cc2CCN1S(=O)(=O)c1ccc([N+](=O)[O-])cc1,,,CHEMBL1146709,Bioorg Med Chem Lett,2004,"{'bei': '18.38', 'le': '0.37', 'lle': '6.14', 'sei': '4.82'}",CHEMBL147489,,CHEMBL147489,7.23,0,http://www.openphacts.org/units/Nanomolar,285618,=,1,1,=,,IC50,nM,,59.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.059
,,460240,[],CHEMBL719134,Inhibition of matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C1c2ccc(OCc3ccccc3)cc2CCN1S(=O)(=O)c1cc(Cl)ccc1Cl,,,CHEMBL1146709,Bioorg Med Chem Lett,2004,"{'bei': '11.89', 'le': '0.25', 'lle': '1.66', 'sei': '6.29'}",CHEMBL147604,,CHEMBL147604,6.03,0,http://www.openphacts.org/units/Nanomolar,285613,=,1,1,=,,IC50,nM,,931.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.931
,,461541,[],CHEMBL719134,Inhibition of matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(S(=O)(=O)N2CCc3cc(OCc4ccccc4)ccc3C2C(=O)NO)cc1,,,CHEMBL1146709,Bioorg Med Chem Lett,2004,"{'bei': '15.78', 'le': '0.30', 'lle': '3.77', 'sei': '7.44'}",CHEMBL146718,,CHEMBL146718,7.14,0,http://www.openphacts.org/units/Nanomolar,285609,=,1,1,=,,IC50,nM,,72.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.072
,,466724,[],CHEMBL719134,Inhibition of matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NO)C1c2ccc(O)cc2CCN1S(=O)(=O)c1ccccc1,,,CHEMBL1146709,Bioorg Med Chem Lett,2004,"{'bei': '18.30', 'le': '0.36', 'lle': '5.19', 'sei': '5.96'}",CHEMBL146289,,CHEMBL146289,6.38,0,http://www.openphacts.org/units/Nanomolar,285608,=,1,1,=,,IC50,nM,,421.0,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,uM,UO_0000065,,0.421
,,906545,[],CHEMBL719129,Inhibition of human Matrix metalloprotease-12 (MMP-12),B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H](C[C@@H](CO)NC(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,,,CHEMBL1145989,J Med Chem,2003,"{'bei': '23.59', 'le': '0.44', 'lle': '6.36', 'sei': '7.84'}",CHEMBL116944,,CHEMBL116944,8.46,0,http://www.openphacts.org/units/Nanomolar,222333,=,1,1,=,,IC50,nM,,3.5,CHEMBL4393,Homo sapiens,Macrophage metalloelastase,9606,,,IC50,nM,UO_0000065,,3.5
